chunk_id,doc_id,country,region,doc_type,pub_year,original_language,source_language_match,policy_topic_id
EU_AI_Act_Regulation_2024_1689_chunk_55,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_56,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_57,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_58,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_59,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_60,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_61,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_62,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_63,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,15
EU_AI_Act_Regulation_2024_1689_chunk_64,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,-1
EU_AI_Act_Regulation_2024_1689_chunk_65,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_66,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_67,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_68,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_69,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_70,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_71,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_72,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_73,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_74,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_75,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_76,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_77,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_78,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_79,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_80,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_81,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_82,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
EU_AI_Act_Regulation_2024_1689_chunk_83,EU_AI_Act_Regulation_2024_1689,European Union,Europe,Binding Regulation,2024,en,True,0
